Sample,Class,PGE,T_PGEM,T_PGAM,P_15K_PGF2a,PGD2,P_11b_PGF2a,PGDM,T_PGDM,PGE1,P_17_transPGF3,IsoP_15F2t,IsoP2_3_dinor15F2t,IsoP15keto15F2t,IsoP8_epi_ent_15F2t,IsoP_9epi_15F2t,IsoP_5F2t,IsoP_5epi_5F2t,IsoP_15epi_15E2t,IsoP_15E1t,IsoP_8F3t
C1,1,0,22.28151,46.58451,28.86789,26.30014,4.306831,0,0,4.648237,0,0,0,0,0,0,28.63723,10.57445,0,0,0
C2,1,0,26.86116,49.80506,27.65417,25.02628,3.462257,0,0,4.516617,0,0,0,0,0,0,28.26934,10.70847,0,0,0
C3,1,0,25.91572,56.32163,27.02315,24.18682,2.612745,0,0,4.205945,0,0,0,0,0,0,22.66191,10.88717,0,0,0
C4,1,0,24.15857,43.4646,28.8152,26.24758,5.16128,0,0,4.038249,0,0,0,0,0,0,0,11.39135,0,0,0
C5,1,0,24.80424,49.04395,28.0901025,25.440205,3.88577825,0,0,4.352262,0,0,0,0,0,0,29.7987775,10.89036,0,0,0
LDL12_1.1,2,0,48.41011,0,31.27631,28.23207,0,0,0,0,0,3.29826,0,0,0,0,23.21821,11.34668,0,0,0
LDL12_1.2,2,0,29.61489,0,31.88832,28.78757,0,0,0,0,0,3.787832,0,0,0,0,21.6057,11.14245,0,0,0
LDL12_1.3,2,0,19.82884,0,32.22651,28.80614,0,0,0,0,0,3.90198,0,0,0,0,31.97797,14.93341,0,0,0
LDL12_1.4,2,0,21.38262,0,29.71414,27.10249,0,0,0,0,0,2.204965,0,0,0,0,42.59351,15.17592,0,0,0
LDL12_1.5,2,0,28.838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LDL25_1.1,2,6.000066,31.49743,0,35.63783,33.71609,0,0,0,1.49684,0,4.122669,0,0,0,0,41.28809,15.59714,9.272106,0,0
LDL25_1.2,2,5.397603,22.35546,0,33.87946,31.34149,0,0,0,1.03321,0,4.952151,0,0,0,0,25.69408,13.05069,9.46786,0,0
LDL25_1.3,2,2.882349,24.86826,0,27.72884,24.87632,0,0,0,1.079437,0,5.198209,0,0,0,0,13.80277,7.440851,8.35746,0,0
LDL25_1.4,2,4.762868,34.68428,0,33.64923,22.48782,0,0,0,1.552584,0,0,0,0,0,0,34.94634,13.62987,9.859368,0,0
LDL25_1.5,2,7.669526,33.85897,0,37.35083,29.73369,0,0,0,2.600848,0,6.5198,0,0,0,0,59.00043,18.43078,12.34004,0,0
LDL50_1.1,2,6.291537,33.90509,50.3596,33.55297,30.50823,2.113707,0,0,1.254828,0,2.669171,0,0,0,0,36.903,13.91865,9.0561,0,0
LDL50_1.2,2,3.773683,23.11622,50.79726,33.42414,31.02611,1.076273,0,0,1.936676,0,3.789354,0,0,0,0,48.02294,13.10813,8.192082,0,0
LDL50_1.3,2,5.874626,21.79758,44.9996,34.73011,31.63057,3.92428,0,0,2.078755,0,4.670586,0,0,0,0,54.17034,12.78903,12.14767,0,0
LDL50_1.4,2,5.2909,28.11783,49.46514,34.42266,31.76663,3.825549,0,0,2.223283,0,6.68722,0,0,0,0,54.53231,15.06105,10.40697,0,0
LDL50_1.5,2,5.436637,22.00045,48.38031,33.9556,31.42343,3.18,0,0,2.193643,0,4.05418,0,0,0,0,43.69126,13.77187,12.23204,0,0
LDL12_6.1,2,2.484176,26.86927,33.59606,30.79026,28.11509,4.121743,0,0,3.47916,0,3.331234,2.833848,0,0,0,69.57446,19.45191,10.72001,0,0
LDL12_6.2,2,7.38456,32.12632,40.98817,34.36114,31.80991,4.995131,0,0,3.439051,0,4.632535,4.168566,0,0,0,78.70063,17.06502,12.72143,0,0
LDL12_6.3,2,5.971437,26.25145,38.68223,37.37571,35.09969,1.942067,0,0,2.269782,0,5.637049,2.72972,0,0,0,68.23934,22.26641,9.623112,0,0
LDL12_6.4,2,5.280057,26.55575,34.57997,34.17571,31.67491,1.805363,0,0,2.465736,0,3.618511,3.091797,0,0,0,28.85086,5.749603,11.02152,0,0
LDL12_6.5,2,0,38.48806,37.45609,0,0,0,0,0,0,0,0,2.635059,0,0,0,49.6132,13.85483,0,0,0
LDL25_6.1,2,12.21338,32.89074,44.0684,39.4064,36.7384,0.5598346,0,0,2.254146,0,9.906223,3.256271,0,0,0,43.804,14.19947,11.78316,0,0
LDL25_6.2,2,12.1301,23.90003,45.02483,42.52637,39.09597,6.4685,0,0,3.670866,0,9.891003,2.587729,0,0,0,87.83865,12.21464,15.0806,0,0
LDL25_6.3,2,13.27213,21.29502,41.92166,41.30874,38.79143,3.681249,0,0,1.605609,0,10.65961,3.529606,0,0,0,72.60812,11.31477,13.14443,0,0
LDL25_6.4,2,0,22.83958,45.75648,0,0,0,0,0,2.694492,0,0,2.77705,0,0,0,59.81337,7.5302,0,0,0
LDL25_6.5,2,15.47293,33.07977,44.94283,41.99343,40.53991,10.18989,0,0,3.247346,0,12.18159,4.1307,0,0,0,98.97637,0,12.56955,0,0
LDL50_6.1,2,0,23.76632,42.37577,32.83117,29.51726,5.221071,0,0,0,0,0,7.377569,0,0,0,24.43612,6.189966,10.35213,0,0
LDL50_6.2,2,8.2811,24.17666,33.09146,34.89554,32.60763,5.815357,0,0,3.372092,0,5.24894,2.199619,0,0,0,67.10006,12.20188,12.18817,0,0
LDL50_6.3,2,13.36799,23.67872,35.69006,40.91257,38.45248,0,0,0,2.879569,0,10.00515,2.270615,0,0,0,52.53974,12.05764,13.26481,0,0
LDL50_6.4,2,16.34604,28.02654,36.24511,50.43537,47.99603,12.90879,0,0,5.887043,0,13.29265,4.02184,0,0,0,98.97637,26.8615,16.72763,0,0
LDL50_6.5,2,15.47683,21.16131,39.40377,45.4882,43.689,6.43812,0,0,3.818386,0,11.47387,5.070683,0,0,0,74.33334,11.15522,13.79132,0,0
LDL12_12.1,2,4.324097,23.26376,40.58451,32.05374,36.38894,0,0,0,2.035248,0,1.375481,3.567469,0,0,0,37.56166,15.04573,0,0,0
LDL12_12.2,2,9.15916,22.44307,39.4618,29.231,36.13363,5.75308,0,0,2.737762,0,9.967103,5.034711,0,0,0,19.8671,9.712869,16.04137,0,0
LDL12_12.3,2,16.73511,28.48299,37.7084,44.9304,43.34426,15.0353,0,0,5.25618,0,15.90285,2.653991,0,0,0,91.86177,21.32186,17.51065,0,0
LDL12_12.4,2,12.75468,31.47069,39.45371,38.42897,45.64309,11.92148,0,0,2.949591,0,13.81012,2.975837,0,0,0,94.68031,28.59103,16.58926,0,0
LDL12_12.5,2,9.618752,30.78369,34.10063,37.68023,35.49392,9.817755,0,0,3.086231,0,8.779951,2.937974,0,0,0,76.77214,9.923477,14.0242,0,0
LDL25_12.1,2,9.128191,38.91223,0,39.55426,36.81417,4.045794,0,0,2.16917,0,7.89872,3.212492,0,0,0,61.72406,18.04147,15.65436,0,0
LDL25_12.2,2,10.36695,37.44606,0,39.4064,37.80049,6.643177,0,0,3.151494,0,5.834906,3.39708,0,0,0,75.36583,21.68564,11.92491,0,0
LDL25_12.3,2,9.826945,22.58139,0,39.13114,37.72783,5.38246,0,0,2.939391,0,7.86676,5.006314,0,0,0,65.37926,13.79101,12.6303,0,0
LDL25_12.4,2,11.33766,35.13152,0,42.10326,39.8566,6.795072,0,0,3.112743,0,5.454409,3.0705,0,0,0,63.6644,15.87795,14.74647,0,0
LDL25_12.5,2,11.14898,21.29502,0,43.17348,40.67749,5.260943,0,0,1.982903,0,9.274597,2.488335,0,0,0,61.45703,15.7184,14.41841,0,0
LDL50_12.1,2,5.806183,37.84717,40.28174,37.26591,34.93428,4.653368,0,0,3.495477,0,5.507677,0,0,0,0,66.07352,21.21336,12.54255,0,0
LDL50_12.2,2,4.831572,24.40719,45.99363,33.3436,31.28429,2.800267,0,0,2.45401,0,3.787832,0,0,0,0,43.8218,17.46708,10.37575,0,0
LDL50_12.3,2,6.682229,21.96817,38.99509,38.34591,35.82011,5.339423,0,0,2.189054,0,7.171717,0,0,0,0,2.581972,5.417734,13.30756,0,0
LDL50_12.4,2,1.892122,26.53269,42.02257,38.34591,0,0,0,0,0,0,0,0,0,0,0,45.02043,15.7184,0,0,0
LDL50_12.5,2,14.19903,37.47831,47.85049,44.4282,41.24177,8.564631,0,0,3.011451,0,12.21964,0,0,0,0,67.60443,18.77541,17.00439,0,0
oxLDL12_1.1,3,0,21.70076,48.40551,29.496,26.96954,0,0,0,0.8013957,0,0,2.77074,0,0,0,28.53637,13.32512,13.41669,0,0
oxLDL12_1.2,3,2.56355,22.12494,39.82763,35.03463,32.79263,0,0,0,1.092694,0,0,2.767585,0,0,0,0,4.032826,15.31011,0,0
oxLDL12_1.3,3,0,23.31909,45.00969,35.03463,0,0,0,0,0,0,0,0,0,0,0,22.87672,5.162451,0,0,0
oxLDL12_1.4,3,16.51911,27.36445,45.65554,47.82928,32.62632,0,0,0,2.647755,0,0,2.890643,0,0,0,61.02386,9.005734,22.95464,0,0
oxLDL12_1.5,3,2.343644,22.54911,38.38957,27.77862,24.78202,0,0,0,1.103231,0,0,2.653991,0,0,0,24.57853,5.49432,9.558986,0,0
oxLDL25_1.1,3,0,21.72842,36.3208,0,0,0,0,0,0,0,0,3.39708,0,0,0,0,0,0,0,0
oxLDL25_1.2,3,0,22.71971,33.8988,0,0,0,0,0,0,0,0,2.994771,0,0,0,25.66243,0,0,0,0
oxLDL25_1.3,3,0,26.06702,37.17857,0,0,0,0,0,0,0,0,3.217223,0,0,0,66.52448,0,0,0,0
oxLDL25_1.4,3,0,23.26837,36.97674,0,0,0,0,0,0,0,0,1.996098,0,0,0,10.43831,0,0,0,0
oxLDL25_1.5,3,0,20.5066,39.17168,0,0,0,0,0,0,0,0,2.901294,0,0,0,0.02450911,0,0,0,0
oxLDL50_1.1,3,0,22.52145,32.28414,0,0,0,0,0,7.304443,0,0,0,0,0,0,11.87073,0,0,0,0
oxLDL50_1.2,3,0,25.91026,33.8988,0,0,0,0,0,10.437,0,0,0,0,0,0,47.58383,16.68209,0,0,0
oxLDL50_1.3,3,0,19.34012,36.32583,0,0,0,0,0,10.48051,0,0,0,0,0,0,16.05761,7.383414,0,0,0
oxLDL50_1.4,3,0,21.60854,32.23366,0,0,0,0,0,11.37173,0,0,0,0,0,0,11.420212,9.753288,0,0,0
oxLDL50_1.5,3,0,20.1562,35.43777,0,0,0,0,0,1.829266,0,0,0,0,0,0,11.6400751,5.194363,0,0,0
oxLDL12_6.1,3,0,26.1869,45.57986,0,0,46.6064,144.3735,0,2.154894,30.46843,12.57731,0,0,40.01297,0,35.79931,283.9186,0,25.84353,0
oxLDL12_6.2,3,0,32.52188,44.94914,0,0,35.4574,261.8524,0,4.676983,50.62891,23.37581,0,0,82.67163,0,71.24777,269.8333,0,43.92543,0
oxLDL12_6.3,3,0,24.8452,51.15551,0,0,42.45971,120.5706,0,3.452649,61.27746,13.44484,0,0,89.57394,0,41.84586,274.6391,0,32.83563,0
oxLDL12_6.4,3,0,28.12797,52.16466,0,0,50.85943,159.9396,0,4.519948,61.27746,21.70163,0,0,79.16389,0,69.54477,305.1772,0,36.02271,0
oxLDL12_6.5,3,0,23.86314,52.36652,0,0,34.52934,158.9903,0,3.701117,40.80592,14.23323,0,0,72.8556,0,43.99509,234.8111,0,34.65683,0
oxLDL25_6.1,3,0,34.89637,57.53343,0,0,37.4852,252.7779,0,10.37106,49.49226,14.68527,0,0,0,0,55.27994,258.1797,0,33.71371,16.05975
oxLDL25_6.2,3,0,33.61463,58.11874,0,0,46.23426,240.4227,0,13.1875,74.55826,13.55138,0,0,0,0,39.98266,311.9868,0,52.5436,11.69203
oxLDL25_6.3,3,0,31.37754,57.18526,0,0,23.67805,208.411,0,5.551897,3.787211,2.448483,0,0,0,0,8.177534,181.4544,0,16.90014,12.02531
oxLDL25_6.4,3,0,29.8754,49.21286,0,0,34.14657,191.0719,0,9.467049,46.63271,10.60786,0,0,0,0,32.63423,238.8573,0,33.23888,12.00602
oxLDL25_6.5,3,0,35.14994,78.83183,0,0,54.99094,267.8554,0,14.73135,96.15449,21.41245,0,0,0,0,59.00043,333.7306,0,53.22654,11.43769
oxLDL50_6.1,3,0,27.33955,95.28123,26.87674,0,34.56883,176.6924,0,11.53897,20.8608,10.26389,0,18.3063,0,0,40.55228,256.7118,12.78893,22.88408,10.14842
